symbol,orderType,side,leverage,createdTime,updatedTime,avgEntryPrice,avgExitPrice,closedPnl,qty,cumEntryValue,orderPrice,closedSize,execType,fillCount,cumExitValue
ETHUSDT,Market,Buy,15,2023/10/14 00:36,2023/10/14 04:54,1545.24,1560,-100.78343784,6.12,9456.8688,1638,6.12,Trade,1,9547.2
ETHUSDT,Market,Buy,10,2023/10/14 00:33,2023/10/14 00:33,1538.6864,1547.4,-46.01580851,4.44,6831.768,1624.77,4.44,Trade,1,6870.456
ETHUSDT,Market,Buy,1,2023/10/13 15:20,2023/10/13 15:20,1537.72,1547.45,-5.02781114,0.44,676.5968,1624.81,0.44,Trade,1,680.878
ETHUSDT,Market,Buy,1,2023/10/13 08:15,2023/10/13 08:15,1557.82,1540.97,6.68255118,0.43,669.8626,1618.01,0.43,Trade,2,662.6171
ETHUSDT,Market,Buy,1,2023/10/11 17:15,2023/10/11 17:15,1546.67,1566.9,-9.64974007,0.44,680.5348,1645.1,0.44,Trade,1,689.436
ETHUSDT,Market,Buy,1,2023/10/11 08:34,2023/10/11 08:34,1573.7172,1568.96,0.69865027,0.22,346.2178,1647.4,0.22,Trade,1,345.1712
ETHUSDT,Market,Buy,1,2023/10/11 00:46,2023/10/11 04:45,1573.7172,1550.01,4.85184738,0.22,346.2178,1627.55,0.22,Trade,1,341.0022
ETHUSDT,Market,Buy,1,2023/10/10 19:20,2023/10/11 00:23,1583.44,1559.66,4.65920871,0.21,332.5224,1637.29,0.21,Trade,1,327.5286
ETHUSDT,Market,Buy,1,2023/10/10 02:43,2023/10/10 02:43,1628.39,1579.43,2.35769877,0.05,81.4195,1658.4,0.05,Trade,1,78.9715
ETHUSDT,Market,Buy,1,2023/10/10 00:05,2023/10/10 00:40,1628.39,1556.46,3.50683047,0.05,81.4195,1634.46,0.05,Trade,1,77.823
ETHUSDT,Market,Buy,1,2023/10/09 18:00,2023/10/10 00:01,1628.39,1578.46,4.81245092,0.1,162.839,1657.37,0.1,Trade,1,157.846
ETHUSDT,Market,Buy,1,2023/10/09 06:40,2023/10/09 17:49,1628.39,1603.98,4.51737489,0.2,325.678,1684.08,0.2,Trade,1,320.796
ETHUSDT,Market,Buy,1,2023/10/09 06:10,2023/10/09 06:10,1625.67,1629.86,-2.43271985,0.41,666.5247,1711.34,0.41,Trade,1,668.2426
ETHUSDT,Market,Sell,1,2023/10/08 13:35,2023/10/08 13:35,1636.17,1627.02,-4.48734935,0.41,670.8297,1545.67,0.41,Trade,1,667.0782
ETHUSDT,Market,Buy,1,2023/10/08 09:50,2023/10/08 09:50,1633.68,1638.15,-2.53017089,0.41,669.8088,1720.04,0.41,Trade,2,671.6415
ETHUSDT,Market,Sell,1,2023/10/07 23:45,2023/10/07 23:45,1640.33,1636.44,-2.33381164,0.41,672.5353,1554.63,0.41,Trade,3,670.9404
ETHUSDT,Market,Buy,1,2023/10/07 19:20,2023/10/07 19:20,1642.03,1639.77,0.18655409,0.41,673.2323,1721.75,0.41,Trade,1,672.3057
ETHUSDT,Market,Buy,1,2023/10/07 16:45,2023/10/07 16:45,1639.19,1642.04,-1.90841737,0.41,672.0679,1724.14,0.41,Trade,1,673.2364
ETHUSDT,Market,Sell,1,2023/10/07 11:40,2023/10/07 11:40,1645,1641.57,-2.21088457,0.41,674.45,1559.5,0.41,Trade,2,673.0437
ETHUSDT,Market,Buy,1,2023/10/06 23:35,2023/10/06 23:35,1626.09,1645,-8.69782179,0.42,682.9578,1727.23,0.42,Trade,1,690.9
